"project_id","name","address"
16809700,"Auswertesystem für Multidetektor CT-Angiographie der Becken-Bein-Region","Ruprecht-Karls-Universität Heidelberg"
16809700,"Auswertesystem für Multidetektor CT-Angiographie der Becken-Bein-Region","Universität Heidelberg"
16809700,"Auswertesystem für Multidetektor CT-Angiographie der Becken-Bein-Region","Johannes Gutenberg-Universität Mainz"
16851089,"Der Einfluss des Plättchenfaktor 4 auf die Immunregulation humaner Alveolarmakrophagen in der Koinfektion mit HIV und Mycobacterium tuberculosis","Forschungszentrum Borstel -"
16851089,"Der Einfluss des Plättchenfaktor 4 auf die Immunregulation humaner Alveolarmakrophagen in der Koinfektion mit HIV und Mycobacterium tuberculosis","Forschungszentrum Borstel"
17075804,"Wave propagation in piezoelectric solids with multiple cracks under different electrical boundary conditions","Technische Universität Darmstadt"
17075804,"Wave propagation in piezoelectric solids with multiple cracks under different electrical boundary conditions","Bulgarian Academy of Science"
17240672,"Die Bedeutung der mitochondrialen Ca2+-Aufnahme während der elektronischen Kopplung für die Energetik und den Redoxstatus in Kardiomyozyten","Universitätsklinikum des Saarlandes"
17240672,"Die Bedeutung der mitochondrialen Ca2+-Aufnahme während der elektronischen Kopplung für die Energetik und den Redoxstatus in Kardiomyozyten","Leibniz-Institut für Neurobiologie (IfN)"
17240672,"Die Bedeutung der mitochondrialen Ca2+-Aufnahme während der elektronischen Kopplung für die Energetik und den Redoxstatus in Kardiomyozyten","Georg-August-Universität Göttingen"
17240672,"Die Bedeutung der mitochondrialen Ca2+-Aufnahme während der elektronischen Kopplung für die Energetik und den Redoxstatus in Kardiomyozyten","Technische Universität München"
17281597,"Live-Imaging Hochleistungsmikroskop","Rheinische Friedrich-Wilhelms-Universität Bonn"
17281597,"Live-Imaging Hochleistungsmikroskop","Universität Leipzig"
17321720,"Modellierung einer akustischen Wandimpedanz unter Strömungseinfluss im Zeitbereich","Technische Universität Berlin"
17321720,"Modellierung einer akustischen Wandimpedanz unter Strömungseinfluss im Zeitbereich","Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR)"
17423985,"Pathogene und endophytische Interaktion zwischen Clavibacter michiganensis subsp. michiganensis und der Tomate","Universität Bielefeld"
17423985,"Pathogene und endophytische Interaktion zwischen Clavibacter michiganensis subsp. michiganensis und der Tomate","Department of Plant Sciences"
17423985,"Pathogene und endophytische Interaktion zwischen Clavibacter michiganensis subsp. michiganensis und der Tomate","Agricultural Research Organization (ARO)"
17423985,"Pathogene und endophytische Interaktion zwischen Clavibacter michiganensis subsp. michiganensis und der Tomate","Agricultural Experimental Station of the Palestinian Ministry of Agriculture"
17423985,"Pathogene und endophytische Interaktion zwischen Clavibacter michiganensis subsp. michiganensis und der Tomate","Tel-Aviv University"
17423985,"Pathogene und endophytische Interaktion zwischen Clavibacter michiganensis subsp. michiganensis und der Tomate","Bethlehem University"
17424032,"From comparative to functional genomics of social amoeba","Universität zu Köln"
17424032,"From comparative to functional genomics of social amoeba","Leibniz-Institut für Altersforschung - Fritz-Lipmann-Institut e.V."
17507602,"Vergleich organspezifischer Wirkungen von 3,4-Methylendioxymethamphetamin (\"Ecstasy\") mit Halothan bei Maligner Hyperthermie des Schweines","Kliniken der Stadt Köln gGmbH"
17507602,"Vergleich organspezifischer Wirkungen von 3,4-Methylendioxymethamphetamin (\"Ecstasy\") mit Halothan bei Maligner Hyperthermie des Schweines","Universitätsklinikum Hamburg-Eppendorf"
17567409,"Breitbandiger, hocheffizienter Photodetektor basierend auf dem SiGe-Materialsystem","Universität Stuttgart"
